rfm_score,segment
122,Others
344,loyals
411,Others
434,big spenders
433,Others
332,Others
421,Others
323,Others
244,loyals
143,loyals
311,Others
412,Others
111,lost n cheap
333,Others
212,Others
233,Others
222,Others
322,Others
444,best.customers
424,big spenders
423,Others
223,Others
123,Others
321,Others
334,big spenders
343,loyals
224,big spenders
112,Others
114,lost
134,big spenders
211,Others
443,loyals
144,loyals
133,Others
221,Others
422,Others
312,Others
432,Others
232,Others
234,big spenders
121,Others
324,big spenders
441,loyals
313,Others
243,loyals
113,Others
342,loyals
413,Others
231,Others
132,Others
214,big spenders
442,loyals
242,loyals
331,Others
213,Others
431,Others
124,big spenders
131,Others
142,loyals
414,big spenders
341,loyals
314,big spenders
